CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
049801,ARKANSAS CHILDREN'S HOSPITAL,800 MARSHALL STREET,LITTLE ROCK,AR,72202,PHO,Pediatric Heart Only,2/27/2001,5/28/2009,6/9/2026,ARCH,Y
049801,ARKANSAS CHILDREN'S HOSPITAL,800 MARSHALL STREET,LITTLE ROCK,AR,72202,PKO,Pediatric Kidney Only,1/11/1979,5/28/2009,6/9/2026,ARCH,Y
049802,BAPTIST HEALTH MEDICAL CENTER,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,AHO,Adult Heart Only,1/10/2005,1/21/2010,7/15/2022,ARBH,Y
049803,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES-TRANSPLANT,"TRANSPLANT SURGERY SLOT 520-4, 4301 W MARKHAM",LITTLE ROCK,AR,72205,AKO,Adult Kidney Only,9/1/1977,1/20/2010,6/29/2023,ARUA,Y
049803,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES-TRANSPLANT,"TRANSPLANT SURGERY SLOT 520-4, 4301 W MARKHAM",LITTLE ROCK,AR,72205,ALI,Adult Liver Only,4/24/2007,1/20/2010,6/29/2023,ARUA,Y
049803,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES-TRANSPLANT,"TRANSPLANT SURGERY SLOT 520-4, 4301 W MARKHAM",LITTLE ROCK,AR,72205,APA,Adult Pancreas,1/20/2010,1/20/2010,6/29/2023,ARUA,N
059800,SHARP MEMORIAL HOSPITAL-TRANSPLANT,7901 FROST STREET,SAN DIEGO,CA,92123,AHO,Adult Heart Only,9/27/2007,9/27/2007,9/20/2019,CASH,Y
059800,SHARP MEMORIAL HOSPITAL-TRANSPLANT,7901 FROST STREET,SAN DIEGO,CA,92123,AKO,Adult Kidney Only,9/27/2007,9/27/2007,9/20/2019,CASH,Y
059800,SHARP MEMORIAL HOSPITAL-TRANSPLANT,7901 FROST STREET,SAN DIEGO,CA,92123,APA,Adult Pancreas,9/27/2007,9/27/2007,9/20/2019,CASH,Y
059801,CEDARS-SINAI MEDICAL CENTER - TRANSPLANT SERVICES,8700 BEVERLY BOULEVARD,LOS ANGELES,CA,90048,AHL,Adult Heart Lung,12/29/2003,1/14/2008,7/24/2014,CACS,Y
