CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
469812,PRIMARY CHILDRENS MEDICAL CENTER,100 NORTH MEDICAL DRIVE,SALT LAKE CITY,UT,84113,PHO,Pediatric Heart Only,10/12/1993,1/6/2010,12/3/2009,UTPC,Y
469812,PRIMARY CHILDRENS MEDICAL CENTER,100 NORTH MEDICAL DRIVE,SALT LAKE CITY,UT,84113,PKO,Pediatric Kidney Only,5/5/2010,5/5/2010,5/5/2010,UTPC,N
469812,PRIMARY CHILDRENS MEDICAL CENTER,100 NORTH MEDICAL DRIVE,SALT LAKE CITY,UT,84113,PLI,Pediatric Liver,6/19/1996,1/6/2010,12/3/2009,UTPC,Y
479801,UNIVERSITY OF VERMONT MEDICAL  CENTER - TRANSPLANT,111 COLCHESTER AVENUE,BURLINGTON,VT,05401,AKO,Adult Kidney Only,8/31/1977,11/17/2009,9/22/2022,VTMC,Y
479801,UNIVERSITY OF VERMONT MEDICAL  CENTER - TRANSPLANT,111 COLCHESTER AVENUE,BURLINGTON,VT,05401,APA,Adult Pancreas,8/31/1977,11/17/2009,9/22/2022,VTMC,Y
499800,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DR,NORFOLK,VA,23507,AHO,Adult Heart Only,10/13/1992,9/29/2008,8/27/2021,VANG,Y
499800,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DR,NORFOLK,VA,23507,AKO,Adult Kidney Only,7/1/1988,1/18/2009,8/27/2021,VANG,Y
499800,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DR,NORFOLK,VA,23507,APA,Adult Pancreas,7/1/1988,1/18/2009,8/27/2021,VANG,Y
499801,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,AHL,Adult Heart Lung,11/19/2009,11/19/2009,6/21/2012,VAFH,N
499801,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,AHO,Adult Heart Only,9/30/2009,9/30/2009,4/5/2022,VAFH,N
499801,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,AKO,Adult Kidney Only,9/30/2009,9/30/2009,4/5/2022,VAFH,N
499801,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,ALO,Adult Lung Only,9/30/2009,9/30/2009,4/5/2022,VAFH,N
499801,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,APA,Adult Pancreas,9/30/2009,9/30/2009,4/5/2022,VAFH,N
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,"1215 LEE STREET, PO BOX 800265",CHARLOTTESVILLE,VA,22908,AHO,Adult Heart Only,3/3/1993,9/3/2009,10/29/2024,VAUV,Y
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,"1215 LEE STREET, PO BOX 800265",CHARLOTTESVILLE,VA,22908,AKO,Adult Kidney Only,9/1/1997,10/9/2009,10/29/2024,VAUV,Y
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,"1215 LEE STREET, PO BOX 800265",CHARLOTTESVILLE,VA,22908,ALI,Adult Liver Only,12/7/1992,9/3/2009,10/29/2024,VAUV,Y
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,"1215 LEE STREET, PO BOX 800265",CHARLOTTESVILLE,VA,22908,ALO,Adult Lung Only,11/3/1995,9/3/2009,10/29/2024,VAUV,Y
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,"1215 LEE STREET, PO BOX 800265",CHARLOTTESVILLE,VA,22908,APA,Adult Pancreas,9/1/1997,9/3/2009,10/29/2024,VAUV,Y
499802,UNIVERSITY OF VIRGINIA HEALTH SYSTEM,"1215 LEE STREET, PO BOX 800265",CHARLOTTESVILLE,VA,22908,PHO,Pediatric Heart Only,10/29/2024,10/29/2024,10/29/2024,VAUV,N
499803,CHILDREN'S HOSP KINGS DAUGHTERS - TRANSPLANT,601 CHILDREN'S LN,NORFOLK,VA,23507,PKO,Pediatric Kidney Only,3/1/2005,10/25/2017,2/22/2023,VACH,Y
499804,HENRICO DOCTORS HOSPITAL - TRANSPLANT,1602 SKIPWITH ROAD,RICHMOND,VA,23229,AKO,Adult Kidney Only,4/1/1990,11/3/2010,10/12/2022,VAHD,Y
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,AHO,Adult Heart Only,10/17/1986,1/10/2011,2/21/2025,VAMC,Y
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,AHO,Adult Heart Only,1/10/2011,1/10/2011,2/21/2025,VAMC,N
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,AKO,Adult Kidney Only,8/1/1977,1/10/2011,2/21/2025,VAMC,Y
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,AKO,Adult Kidney Only,1/10/2011,1/10/2011,2/21/2025,VAMC,N
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,ALI,Adult Liver Only,12/15/1994,1/10/2011,2/21/2025,VAMC,Y
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,ALI,Adult Liver Only,1/10/2011,1/10/2011,2/21/2025,VAMC,N
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,APA,Adult Pancreas,12/15/1994,1/10/2011,2/21/2025,VAMC,Y
499805,MEDICAL COLLEGE OF VIRGINIA,1250 EAST MARSHALL STREET,RICHMOND,VA,23298,APA,Adult Pancreas,1/10/2011,1/10/2011,2/21/2025,VAMC,N
509800,VIRGINIA MASON MEDICAL CENTER,"1100 9TH AVE, MAILSTOP C1-TX",SEATTLE,WA,98111,AKO,Adult Kidney Only,9/1/1977,8/22/2008,12/9/2021,WAVM,Y
